2015-09-13_20:21:29.626/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Short -> org.hibernate.type.ShortType@c184a81
2015-09-13_20:21:29.627/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration integer -> org.hibernate.type.IntegerType@419431dc
2015-09-13_20:21:29.627/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration int -> org.hibernate.type.IntegerType@419431dc
2015-09-13_20:21:29.627/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@419431dc
2015-09-13_20:21:29.631/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration long -> org.hibernate.type.LongType@102bb858
2015-09-13_20:21:29.631/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration long -> org.hibernate.type.LongType@102bb858
2015-09-13_20:21:29.632/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Long -> org.hibernate.type.LongType@102bb858
2015-09-13_20:21:29.634/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration float -> org.hibernate.type.FloatType@729405ca
2015-09-13_20:21:29.635/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration float -> org.hibernate.type.FloatType@729405ca
2015-09-13_20:21:29.635/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Float -> org.hibernate.type.FloatType@729405ca
2015-09-13_20:21:29.638/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration double -> org.hibernate.type.DoubleType@2e4d3abf
2015-09-13_20:21:29.638/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration double -> org.hibernate.type.DoubleType@2e4d3abf
2015-09-13_20:21:29.638/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2e4d3abf
2015-09-13_20:21:29.643/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@c949c53
2015-09-13_20:21:29.644/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@c949c53
2015-09-13_20:21:29.647/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7042058f
2015-09-13_20:21:29.648/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7042058f
2015-09-13_20:21:29.651/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration string -> org.hibernate.type.StringType@7b8c6c98
2015-09-13_20:21:29.651/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration java.lang.String -> org.hibernate.type.StringType@7b8c6c98
2015-09-13_20:21:29.653/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3a5032fc
2015-09-13_20:21:29.655/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4edc8de9
2015-09-13_20:21:29.657/CAT | DEBUG | [main] |  | org.hibernate.type.BasicTypeRegistry | Adding type registration url -> org.hibernate.type.UrlType@6ea4ffc6
